lambda_nm,T_LL,T_LR,T_RL,T_RR
500.0,(0.4362043808115243+0.28956064345024135j),(-0.00959553338615518-0.0850624917987988j),(-0.10822169450255095+0.013039521573287562j),(0.4401747095121696+0.28403438529085845j)
500.99999999999994,(0.44223132469632936+0.27769397369074283j),(-0.012962078511029818-0.086760366018639j),(-0.10925157614400166+0.01758023445971453j),(0.44580974023280723+0.272087381331433j)
501.99999999999994,(0.44784853991691154+0.2657881517588958j),(-0.01649667443721655-0.08829817059566848j),(-0.11009187792385014+0.022204191021166372j),(0.4510227384174399+0.26013499488914194j)
503.0,(0.4530730085000784+0.25387148343271304j),(-0.020189716350361098-0.0896977320891373j),(-0.11076788091814377+0.026905016778301108j),(0.45585712135802986+0.24821524934127573j)
503.99999999999994,(0.45792654017994955+0.2419472561514247j),(-0.02406402417095154-0.09095614665951905j),(-0.1112802391035207+0.031712317336860266j),(0.46034575917305004+0.23631445313348093j)
504.99999999999994,(0.4624032043653646+0.2300087081760498j),(-0.028128172402389254-0.0920374461415873j),(-0.11158729750704548+0.03663582454418672j),(0.4644749245553647+0.22441992020611956j)
506.0,(0.4664794455184622+0.21807802425046943j),(-0.032360505149203106-0.09291035752339884j),(-0.11165868283651328+0.04163798321602234j),(0.4682259158864379+0.21256031676508744j)
507.0,(0.47015784703520563+0.20620522839699026j),(-0.036737858230586465-0.09356726751716893j),(-0.11151294749375516+0.04668198544101426j),(0.4716167906416549+0.20077386449811865j)
507.99999999999994,(0.47347782445735304+0.19442361827746496j),(-0.04125398396049798-0.09400241499676064j),(-0.111178479698503+0.05177852352079422j),(0.47467841490349666+0.18906687114066395j)
509.0,(0.4764753861708+0.18272702699607074j),(-0.04590141730452041-0.09419537532347455j),(-0.11064019018032212+0.056958498682596226j),(0.4774135172722378+0.17743178977895624j)
510.0,(0.47915083770890393+0.1711011858894995j),(-0.05065600492285284-0.09412836684816223j),(-0.10985327132198046+0.06221689661512331j),(0.47980994556637074+0.16588852821963454j)
510.99999999999994,(0.4814886361715117+0.15956132696654193j),(-0.05549471852927537-0.09380293924628687j),(-0.10879779963504835+0.06751307313322517j),(0.4818834916911493+0.15447639273501254j)
511.99999999999994,(0.4834956106989448+0.1481441873925739j),(-0.06041610160217946-0.09322217658069497j),(-0.10748991463860898+0.07282010954939395j),(0.48367668661759716+0.14320951985737412j)
513.0,(0.4852031319662155+0.13687326234400926j),(-0.06542472568551591-0.09236465466051808j),(-0.10593979052615296+0.07814434754422667j),(0.48521378572775814+0.13206937989605672j)
513.9999999999999,(0.4866384514825104+0.12574972042605487j),(-0.07049936309663435-0.0911942987657455j),(-0.1041266761993066+0.08349110351842845j),(0.4864835157386673+0.1210477574922455j)
514.9999999999999,(0.4878124747184248+0.11477457304121477j),(-0.07559372658475917-0.08969585240004756j),(-0.10202590631669405+0.08883637439827079j),(0.48747701905751384+0.11017365749411376j)
516.0,(0.4887371100461539+0.10396129312607225j),(-0.08067145013097916-0.08788506262288505j),(-0.09963919794295871+0.0941472883230333j),(0.4882230608266254+0.09948345763672789j)
517.0,(0.48943758444062563+0.09332086001367076j),(-0.0857264434687352-0.08577880115289975j),(-0.09698003457219967+0.09941370689106131j),(0.48876883311971214+0.08898013423319998j)
518.0,(0.4899382521762519+0.08284869486663554j),(-0.09076162185522352-0.08336745238631454j),(-0.09404081866712943+0.10463908099983105j),(0.48913743274602844+0.07864063775895802j)
519.0000000000001,(0.49024708836285863+0.07253825525656427j),(-0.09575801324001874-0.08062589507840695j),(-0.09079600148436541+0.10980625720787196j),(0.48932412707164036+0.06845633030846951j)
520.0000000000001,(0.49036750607212826+0.06240042911510365j),(-0.10067567139919749-0.0775435533911086j),(-0.08723689132944205+0.11487325475027788j),(0.4893319545482306+0.05844578541558911j)
521.0,(0.4903222071165357+0.05245578911080707j),(-0.10547946073476741-0.07413150851452657j),(-0.08338432480744842+0.1198066151640241j),(0.4891912287323282+0.0486255101212252j)
521.9999999999999,(0.4901523871630604+0.042707364038672965j),(-0.11015089280837148-0.07040269308004424j),(-0.07925959185908515+0.12460238774726012j),(0.48893725474331173+0.03898593188053322j)
523.0,(0.4898902479311249+0.0331323369942413j),(-0.11467383133010903-0.06635847438145098j),(-0.07485655435510061+0.12926392463117856j),(0.4885838280282139+0.029506620080822707j)
524.0,(0.48954163294933156+0.02370553357983584j),(-0.11902108980939984-0.06199924401151182j),(-0.07015501942312914+0.13376936764549624j),(0.4881319260556754+0.020183680657303936j)
525.0,(0.4891019006960563+0.014423403384038132j),(-0.12316291990641763-0.0573379391824706j),(-0.06515493378176913+0.13807498575084873j),(0.48759717392065993+0.011026944983174854j)
525.9999999999998,(0.4885827617497363+0.005297543777529758j),(-0.1270816171038514-0.052393153578523616j),(-0.059883069580715195+0.14214758262909055j),(0.48701287321965386+0.002032863216185045j)
527.0,(0.488015095845334-0.0036711170034245087j),(-0.13076684039676373-0.0471725354808956j),(-0.054365570195693054+0.1459796064391436j),(0.48640422861747457-0.006824863189595794j)
528.0,(0.48742746342865395-0.012502742948306604j),(-0.13419671953945161-0.0416737470056651j),(-0.048607051574656945+0.14956853945945733j),(0.4857725236450432-0.015572663723157847j)
528.9999999999999,(0.48683105617654665-0.021223482658762154j),(-0.13733308018559925-0.03590466547929064j),(-0.04260382275924257+0.1528927890540003j),(0.4851125733549021-0.024215668440666843j)
529.9999999999999,(0.48622835810653975-0.02984914073992176j),(-0.14014029189663968-0.02989528342698411j),(-0.03636914014022574+0.1559176086136785j),(0.4844382100989012-0.03274838872012373j)
530.9999999999999,(0.48562856319984443-0.038389044188034446j),(-0.14260372976621624-0.023683756429547634j),(-0.029934221957824893+0.1586196582238581j),(0.48377962622953735-0.041182258384938414j)
532.0,(0.48504667908627674-0.04686022596644075j),(-0.14472343337576965-0.017294049123510888j),(-0.02332603879571859+0.16099411261194368j),(0.48315650168486013-0.04955175650239997j)
533.0,(0.484489945712769-0.05528883557245463j),(-0.14649142024739442-0.010733819446095666j),(-0.016555304596562403+0.16303587544672915j),(0.4825636614183832-0.05789152920431629j)
534.0,(0.48395376038799615-0.06369690472796374j),(-0.14788188392151955-0.004014166049806797j),(-0.009631273897606235+0.16472358956046335j),(0.4819871978843578-0.0662161361226121j)
535.0,(0.483434122084065-0.07209509583889986j),(-0.14886536721098645+0.0028347721995197056j),(-0.0025811278985109765+0.1660296351606974j),(0.4814274891197665-0.07452831481538713j)
535.9999999999999,(0.48293843277785176-0.08049350691980159j),(-0.14942723045929301+0.009770744701910195j),(0.004553920342091233+0.16694181672428038j),(0.4808984869972456-0.08284207974879051j)
537.0,(0.48247774617015327-0.08891622477440311j),(-0.1495678970077189+0.016757271907708232j),(0.011740474781874954+0.1674665125806151j),(0.4804065302927938-0.09118880427742868j)
538.0,(0.4820491751066781-0.09739875879681632j),(-0.14928810961308472+0.023769146235604277j),(0.018962900145124834+0.16760920875377666j),(0.4799384873247189-0.09959975536903069j)
538.9999999999999,(0.4816314298807482-0.10596986467777916j),(-0.1485806027560083+0.030781486692778984j),(0.026208324071016725+0.16735897506748626j),(0.4794739914094143-0.10809014979947293j)
540.0000000000001,(0.4811999884000069-0.11464007902927656j),(-0.14743782378827608+0.03776004637480329j),(0.0334471725447642+0.16669739679949014j),(0.47900338068377213-0.11666559711577293j)
