lambda_nm,txx,txy,tyx,tyy
500.0,(0.3792809312174939+0.2507860292577943j),(0.05181413576573463+0.051298244908520536j),(0.04628787760635173+0.04732791620787524j),(0.49709815910620003+0.32280899948330555j)
500.99999999999994,(0.38291370513705253+0.24030061173162567j),(0.0549735964188317+0.049933956584724846j),(0.04936700405952183+0.04635554104824699j),(0.505127359792084+0.30948074329055014j)
501.99999999999994,(0.38614136298664237+0.22991458353676783j),(0.058077759243294384+0.04838470099358098j),(0.05242460237354048+0.04521050249305262j),(0.5127299153477091+0.29600856311126994j)
503.0,(0.3889862662948017+0.21964700873157628j),(0.06112949147943785+0.04668113871286706j),(0.055473257388000546+0.0438970258549156j),(0.5199438635633066+0.28243972404241247j)
503.99999999999994,(0.3914640180392637+0.20950893998112344j),(0.06415063350716155+0.04481771696283482j),(0.05851783048921777+0.04239849796973434j),(0.5268082813137359+0.2687527693037822j)
504.99999999999994,(0.3935813295056473+0.19951350339238438j),(0.06713102932785212+0.04276542264732817j),(0.06154224135792191+0.04069370245732806j),(0.533296799415082+0.25491512498978497j)
506.0,(0.3953430867095919+0.18968298335409017j),(0.07003302411240159+0.04052232402764293j),(0.0645153166270196+0.03877585365966725j),(0.5393622746953083+0.24095535766146667j)
507.0,(0.3967619159762595+0.18004690540947713j),(0.07284030842852739+0.038117016434809005j),(0.06740894452965579+0.03665807282835969j),(0.5450127217006011+0.2269321874856318j)
507.99999999999994,(0.39786188785092436+0.17063329897108123j),(0.07556884282717793+0.03556254309207431j),(0.07021209569037694+0.034361952645930706j),(0.5502943515099253+0.21285719044704765j)
509.0,(0.3986736479790976+0.16146097006707433j),(0.07822455561159264+0.03283845198861973j),(0.07292931839447814+0.03190032088718197j),(0.5552152554639401+0.19869784670795265j)
510.0,(0.39922575351522066+0.15253912193804756j),(0.08077896056657524+0.029928187128297225j),(0.07556630289671028+0.029269079270830386j),(0.559735029760054+0.18445059217108647j)
510.99999999999994,(0.3995398048491687+0.1438739267942464j),(0.08320047330552073+0.02684896831270526j),(0.07811553907399132+0.026454112793067718j),(0.5638323230134924+0.1701637929073081j)
511.99999999999994,(0.39963314053787674+0.1354758201093235j),(0.08548847683264434+0.02362744447754092j),(0.08055380929744459+0.0234463685588886j),(0.5675391567786652+0.1558778871406245j)
513.0,(0.39952620074115236+0.12736116756188728j),(0.08765644232634864+0.020262859301089817j),(0.0828525598783961+0.020252205539547232j),(0.5708907169528212+0.1415814746781787j)
513.9999999999999,(0.39924796396261836+0.11954714133549166j),(0.08969368260899166+0.016736188679414607j),(0.08499171967518228+0.016891124423257634j),(0.5738740032585593+0.1272503365828087j)
514.9999999999999,(0.3988349304372427+0.11204437626677588j),(0.09156657117270968+0.013048362035511943j),(0.08696565562560866+0.013383817696422929j),(0.5764545633386959+0.11290385426855265j)
516.0,(0.3983247613994207+0.1048534882314742j),(0.09325509321763135+0.009226849296225552j),(0.08877725772828701+0.00974089851575399j),(0.5786354094733586+0.09859126253132594j)
517.0,(0.39774996975970145+0.09796794999251615j),(0.09476661691221593+0.005292419891275471j),(0.09042589113174514+0.005961171212188993j),(0.5804564478006363+0.08433304425435459j)
518.0,(0.3971366221999637+0.09138048061955503j),(0.09610729524691156+0.0012391886908412254j),(0.09189923813923402+0.002040008121064693j),(0.5819390627223167+0.07010885200603854j)
519.0000000000001,(0.3965086003550574+0.08508747384724939j),(0.09725703861718683-0.002942486523435806j),(0.09317511366909209-0.0020195252322175354j),(0.5830626150794416+0.05590711171778439j)
520.0000000000001,(0.39589344894585965+0.07908795794493101j),(0.09818572592045051-0.007237165796826556j),(0.09423108222093597-0.006201614272928888j),(0.5838060116744992+0.04175825658576175j)
521.0,(0.395324825153324+0.0733782029407649j),(0.09888420133406627-0.011613057155763261j),(0.0950539223444844-0.01048207877155572j),(0.5841886106955398+0.027703096291267364j)
521.9999999999999,(0.3948395786194578+0.06794649529321103j),(0.09936325649272205-0.016053216684517525j),(0.0956418243345823-0.014838084264768788j),(0.5842500632869144+0.013746800625995146j)
523.0,(0.39447184513706457+0.06277220366239579j),(0.09962405796302407-0.020561848438959727j),(0.09599834104960547-0.01925542853604868j),(0.5840022308222742-0.00013324658733178177j)
524.0,(0.394248724886239+0.0578296689355621j),(0.09964523228976999-0.025137888639963437j),(0.09612337936723808-0.023728181746307257j),(0.583424834118768-0.013940454698422327j)
525.0,(0.39419061046426473+0.053093697467795554j),(0.0994046916670913-0.029756356450022454j),(0.09600823326622802-0.02825162967462605j),(0.5825084641524515-0.027643349100582568j)
525.9999999999998,(0.3943154741424118+0.04854241802214087j),(0.09890270838447944-0.03438421802660935j),(0.09563802782313473-0.03281432949652688j),(0.5812801608269784-0.04121201102842607j)
